"SegmentName","KPI","size_treatment","size_control","mean_treatment","mean_control","rel_effect","confidence_interval","pValue","Significant"
"Total","Utilisation_weighted",11787,14327,0.491157131510405,0.505885943036401,-0.0291148859317791,"(-0.033 ; 0.004)",0.118,"NO"
"Total","AccR",11787,14327,0.0803412200421152,0.0691900376182611,0.16116745716165,"(0.008 ; 0.014)",0,"YES"
"Total","RejR",11787,14327,0.373023380304823,0.366453522652861,0.017928215301086,"(-0.017 ; 0.03)",0.583,"NO"
"Total","IngoreR",11787,14327,0.546635399653062,0.564356439728878,-0.0314004392052819,"(-0.048 ; 0.012)",0.246,"NO"
"Total","PassCanc_perAccepted",11787,14327,0.0835205189036394,0.0850756771584986,-0.0182797046911766,"(-0.006 ; 0.003)",0.457,"NO"
"Total","driver_earning",11787,14327,83992.9283956902,73117.4710686117,0.148739516946274,"(7773.175 ; 13977.739)",0,"YES"
"Total","supply_hours",11787,14327,508.006787138373,431.381517414672,0.177627614142875,"(62.944 ; 90.307)",0,"YES"
"Total","utilisation",11787,14327,0.959414655057484,0.862743937764043,0.112050300282586,"(0.073 ; 0.12)",0,"YES"
"Total","rides",11787,14327,8.87494697548146,7.81768688490263,0.135239503211697,"(0.736 ; 1.378)",0,"YES"
"Total","time_to_accept",11787,14327,13.9625229953049,10.3859594581832,0.344365251137553,"(3.255 ; 3.898)",0,"YES"
"Total","time_to_reject",11787,14327,16.8069585801731,8.67176465306297,0.93812439019971,"(6.974 ; 9.296)",0,"YES"
"Total","accepted",11787,14327,13.4459998303215,11.704194876806,0.148818861258642,"(1.276 ; 2.207)",0,"YES"
"Total","rejected",11787,14327,62.4296258589972,61.9893208627068,0.00710291692444259,"(-3.507 ; 4.388)",0.827,"NO"
"Total","ignored",11787,14327,91.485534911343,95.4666015216026,-0.0417011451838338,"(-9.02 ; 1.057)",0.121,"NO"
"Total","broadcasts",11787,14327,167.361160600662,169.160117261115,-0.0106346382917006,"(-9.3 ; 5.702)",0.638,"NO"
"Total","drac_score_avg",11787,14327,73.6863705376829,62.7695467858025,0.173919110633909,"(6.609 ; 15.225)",0,"YES"
